X,Y,Cluster,Region,City,Partner,Lon,Lat,Population,Strata,Salary,Ranking,SB Trade Z,Target Pen,Target P_1,Actual Pen,Ttl,IL+FS,DT,FC,St,Op,Lt,SB,Ttl g,St g,Op g,SB g,KFC Av Sal,EBITDA H12,ViT,BK,icon_url
142.738041,46.959179,Far east,Сахалинская область,Южно-Сахалинск,"0",142.738041000000010,46.959178999999999,200 854,100 - 300,84 501,high,"0",60 000,66 951,,"0","0","0","0","0","0","0","0","3","2","1","0",,,,,
158.655954,53.036996,Far east,Камчатский край,Петропавловск-Камчатский,"0",158.655954000000008,53.036996000000002,181 181,100 - 300,84 458,high,"0",60 000,45 295,,"0","0","0","0","0","0","0","0","4","2","2","0",,,,,
94.437757,51.719086,Siberia,Тыва республика,Кызыл,"0",94.437757000000005,51.719085999999997,117 904,100 - 300,44 802,good,"0",80 000,117 904,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
44.270181,46.308309,South,Калмыкия республика,Элиста,"0",44.270181000000001,46.308309000000001,102 618,100 - 300,29 860,ok,"0",100 000,102 618,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
150.808541,59.568164,Far East,Магаданская область,Магадан,"0",150.808540999999991,59.568164000000003,91 781,60 - 100,88 663,high,"0",60 000,45 891,,"0","0","0","0","0","0","0","0","2","2","0","0",,,,,
158.388355,53.183026,Far East,Камчатский край,Елизово,"0",158.388354999999990,53.183025999999998,39 198,30 - 60,67 816,high,"0",60 000,39 198,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
142.780297,46.633754,Far East,Сахалинская область,Корсаков,"0",142.780296999999990,46.633754000000003,33 645,30 - 60,76 025,high,"0",60 000,33 645,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
142.041622,47.040905,Far East,Сахалинская область,Холмск,"0",142.041621999999990,47.040905000000002,27 479,меньше 30,54 349,good,Low Density Residential,80 000,27 479,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
142.947186,53.584521,Far East,Сахалинская область,Оха,"0",142.947185999999988,53.584521000000002,20 391,меньше 30,66 624,good,Low Density Residential,80 000,20 391,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
177.501522,64.731434,Far East,Чукотский автономный округ,Анадырь,"0",177.501521999999994,64.731433999999993,15 849,меньше 30,113 350,very high,Low Density Residential,40 000,15 849,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
143.08956,49.22038,Far East,Сахалинская область,Поронайск,"0",143.089560000000006,49.220379999999999,15 388,меньше 30,47 882,good,Low Density Residential,80 000,15 388,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
141.863135,46.652779,Far East,Сахалинская область,Невельск,"0",141.863135000000000,46.652779000000002,9 996,меньше 30,47 368,ok,Low Density Residential,100 000,9 996,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
142.069281,49.081575,Far East,Сахалинская область,Углегорск,"0",142.069280999999989,49.081575000000001,8 687,меньше 30,"0",high,Low Density Residential,60 000,8 687,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
30.315868,59.939095,NW,Санкт-Петербург,Санкт-Петербург,AmRest,30.315867999999998,59.939095000000002,5 383 890,Млн+,60 421,high,"0",60 000,32 433,56 082,"96","43","22","31","77","13","6","0","70","49","21","0",8 208,16%,"97","86",
38.975996,45.040216,South,Краснодарский край,Краснодар,AmRest,38.975996000000002,45.040216000000001,918 145,300 - млн,46 168,high,"0",60 000,32 791,34 005,"27","15","5","7","20","5","2","0","1","0","1","0",8 259,15%,"17","12",
49.106324,55.798551,Volga,Татарстан республика,Казань,AmRest,49.106324000000001,55.798551000000003,1 251 969,Млн+,44 970,good,"0",80 000,62 598,96 305,"13","6","3","4","12","1","0","0","7","3","4","0",6 672,13%,"21","16",
44.005986,56.326887,Volga,Нижегородская область,Нижний Новгород,AmRest,44.005986000000000,56.326886999999999,1 253 511,Млн+,45 755,good,"0",80 000,62 676,104 459,"12","3","2","7","11","1","0","0","8","3","5","0",6 486,16%,"22","13",
34.359688,61.789036,NW,Карелия республика,Петрозаводск,AmRest,34.359687999999998,61.789036000000003,280 170,100 - 300,"0",good,"0",80 000,70 043,93 390,"3","0","2","1","3","0","0","0","1","0","1","0",5 524,16%,"2","4",
36.718404,45.215581,South,Краснодарский край,Тамань станица,AmRest,36.718404000000000,45.215581000000000,10 027,меньше 30,"0",Нет рейтинга,"0",,5 014,5 014,"2","0","2","0","2","0","0","0","0","0","0","0",10 338,23%,,,
41.132429,45.001116,South,Краснодарский край,Армавир,AmRest,41.132429000000002,45.001116000000003,190 205,100 - 300,28 478,ok,"0",100 000,95 103,95 103,"2","1","0","1","2","0","0","0","0","0","0","0",7 378,20%,"1","1",
31.275475,58.521475,NW,Новгородская область,Великий Новгород,AmRest,31.275475000000000,58.521475000000002,224 297,100 - 300,39 657,good,"0",80 000,74 766,112 149,"2","1","1","0","2","0","0","0","1","0","1","0",6 781,19%,"2",,
